E:\Academics\DDP\Code\CNN\droplet-parameter-estimation\infocus\no_200
['data', 'dataset', 'main.py', 'model', 'resume.py', 'test.py', 'wandb']





























Epoch 1: 100%|████████████████████████████████████████████████████████████████████| 27/27 [01:18<00:00,  2.90s/batch, avg_mse=inf, mse=0.0939]


Epoch 10: 100%|███████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  2.04batch/s, avg_mse=0.0114, mse=2.07e-5]
Validation 10:  50%|██████████████████████████████████████▌                                      | 2/4 [00:00<00:00,  2.78batch/s, avg_mse=0.004, mse=3.81e-5]
Validation 10: 100%|█████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.05batch/s, avg_mse=0.0038, mse=1.9e-5]





Epoch 11: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  2.02batch/s, avg_mse=0.0103, mse=0.000164]
Validation 11: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.40batch/s, avg_mse=0.00346, mse=3.11e-5]





Epoch 12: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.12batch/s, avg_mse=0.00948, mse=2.83e-5]
Validation 12: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.35batch/s, avg_mse=0.00317, mse=8.68e-6]





Epoch 13: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.10batch/s, avg_mse=0.00875, mse=1.13e-5]
Validation 13: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.44batch/s, avg_mse=0.00293, mse=1.91e-5]





Epoch 14: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.09batch/s, avg_mse=0.00813, mse=1.81e-5]
Validation 14: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.36batch/s, avg_mse=0.00273, mse=4.33e-5]





Epoch 15: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.11batch/s, avg_mse=0.00759, mse=2.84e-5]
Validation 15:  25%|██████████████████▌                                                       | 1/4 [00:00<00:01,  2.62batch/s, avg_mse=0.00269, mse=0.000966]
Validation 15: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.17batch/s, avg_mse=0.00261, mse=0.00101]







Epoch 16: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:15<00:00,  1.78batch/s, avg_mse=0.00712, mse=8.75e-6]
Validation 16: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.08batch/s, avg_mse=0.00245, mse=3.36e-5]






Epoch 17: 100%|███████████████████████████████████████████████████████████████████████████████| 27/27 [00:14<00:00,  1.89batch/s, avg_mse=0.0067, mse=3.65e-5]
Validation 17: 100%|████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.10batch/s, avg_mse=0.0023, mse=8.27e-6]





Epoch 18: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  2.05batch/s, avg_mse=0.00633, mse=2.95e-5]
Validation 18: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.34batch/s, avg_mse=0.00218, mse=2.18e-5]





Epoch 19: 100%|████████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.09batch/s, avg_mse=0.006, mse=8.18e-6]
Validation 19: 100%|██████████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.39batch/s, avg_mse=0.00207, mse=8e-5]





Epoch 20: 100%|███████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.10batch/s, avg_mse=0.0057, mse=1.16e-5]
Validation 20: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.39batch/s, avg_mse=0.00196, mse=1.77e-5]
Epoch 21:   4%|██▉                                                                            | 1/27 [00:00<00:13,  1.93batch/s, avg_mse=0.00569, mse=1.91e-5]






Epoch 21: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.09batch/s, avg_mse=0.00543, mse=1.88e-5]
Validation 21: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.34batch/s, avg_mse=0.00187, mse=8.36e-6]






Epoch 22: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.08batch/s, avg_mse=0.00519, mse=1.97e-5]
Validation 22: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.19batch/s, avg_mse=0.00179, mse=1.78e-5]





Epoch 23: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.09batch/s, avg_mse=0.00496, mse=3.14e-6]
Validation 23: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.34batch/s, avg_mse=0.00171, mse=7.98e-6]






Epoch 24: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.12batch/s, avg_mse=0.00475, mse=1.07e-5]
Validation 24: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.36batch/s, avg_mse=0.00164, mse=6.65e-6]






Epoch 25: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:12<00:00,  2.09batch/s, avg_mse=0.00456, mse=9.44e-6]
Validation 25: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.35batch/s, avg_mse=0.00157, mse=1.45e-5]
Epoch 26:   4%|██▉                                                                             | 1/27 [00:00<00:13,  1.97batch/s, avg_mse=0.00456, mse=2.1e-5]






Epoch 26: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.97batch/s, avg_mse=0.00439, mse=6.86e-6]
Validation 26: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.02batch/s, avg_mse=0.00152, mse=9.21e-5]





Epoch 27: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.99batch/s, avg_mse=0.00423, mse=1.04e-5]
Validation 27: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.06batch/s, avg_mse=0.00146, mse=9.28e-5]






Epoch 28: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.98batch/s, avg_mse=0.00408, mse=3.61e-5]
Validation 28: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.05batch/s, avg_mse=0.00141, mse=1.58e-5]






Epoch 29: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.96batch/s, avg_mse=0.00394, mse=2.57e-5]
Validation 29: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.06batch/s, avg_mse=0.00136, mse=8.69e-6]






Epoch 30:  93%|████████████████████████████████████████████████████████████████████████▏     | 25/27 [00:13<00:01,  1.94batch/s, avg_mse=0.00382, mse=8.84e-6]
Epoch 30: 100%|██████████████████████████████████████████████████████████████████████████████| 27/27 [00:13<00:00,  1.98batch/s, avg_mse=0.00381, mse=3.32e-5]
Validation 30: 100%|███████████████████████████████████████████████████████████████████████████| 4/4 [00:01<00:00,  3.12batch/s, avg_mse=0.00132, mse=0.00014]
